Type,Square Item,Square Variation,Square SKU,Shopify Product,Details,Score
multi-variant-match,Greasy Runtz (Indica - 29.31% THCA),14 Grams,greasy-runtz-indica-29-31-thca-14-grams,Dragon (Indica - 31.29% THCA),7 Grams(DRAGON-7) | 14 Grams(DRAGON-14),""
multi-variant-match,Greasy Runtz (Indica - 29.31% THCA),28 Grams,greasy-runtz-indica-29-31-thca-28-grams,Dragon (Indica - 31.29% THCA),7 Grams(DRAGON-7) | 28 Grams(DRAGON-28),""
weak-item-match,Moonblend (Hybrid - 29.38% THCA),,"moonblend-hybrid-29-38-thca-3-5-grams,moonblend-hybrid-29-38-thca-7-grams,moonblend-hybrid-29-38-thca-14-grams,moonblend-hybrid-29-38-thca-28-grams",,Blockberry (Hybrid - 25.42% THCA),0.25
weak-item-match,Upgrade (Hybrid - 28.53% THCA),,"UG3.5,UG7,UG14,UG28",,Giraffe Pussy (Hybrid - 28.50% THCA),0.38
weak-item-match,Papaya (Hybrid - 24.69% THCA),,"PAP3.5,PAP7,PAP14,PAP28",,Blockberry (Hybrid - 25.42% THCA),0.25
weak-item-match,Sin Mint Cookies (Hybrid - 25.13% THCA),,"549463D,889603S,M901419,892761A",,Blockberry (Hybrid - 25.42% THCA),0.33
weak-item-match,Triangle Mintz (Hybrid - 25.01% THCA),,"121197P,9823012,W103627,R320676",,Blockberry (Hybrid - 25.42% THCA),0.38
multi-variant-match,Ambrosia Gold Zoap Crumble (88.89% THCA),5 Grams,agzoat5,Citrus Burst Live Resin (Sativa - 83.20% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 10 Grams(agzoap10) | 25 Grams(agzoap25) | 50 Grams(CITRUSBURST-50),""
weak-item-match,Purple Papaya Live Rosin (THCA 77.37%),,"330922R,5942184,8272934",,Papaya Crush Tier 2 Rosin (Sativa - 62.22% THCA),0.25
multi-variant-match,Papaya Punch Live Resin (85.62% THCA),2.5 Grams,289972K,Papaya Punch Live Resin (Indica - 82.67% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 10 Grams(agzoap10) | 25 Grams(agzoap25),""
multi-variant-match,Papaya Punch Live Resin (85.62% THCA),5 Grams,1767776,Papaya Punch Live Resin (Indica - 82.67% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 10 Grams(agzoap10) | 25 Grams(agzoap25),""
multi-variant-match,Papaya Punch Live Resin (85.62% THCA),10 Grams,238309H,Papaya Punch Live Resin (Indica - 82.67% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 10 Grams(agzoap10),""
multi-variant-match,Papaya Punch Live Resin (85.62% THCA),25 Grams,P046086,Papaya Punch Live Resin (Indica - 82.67% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 25 Grams(agzoap25),""
weak-item-match,CBD Pet Treats - Peanut Butter Pumpkin 30ct,,PETNUGS,,CBD Pet Treats,0.43
weak-item-match,Lung Candy (Indica - 31.6% THCA),,"2415103,5031040,707665J,367729X",,Dragon (Indica - 31.29% THCA),0.43
weak-item-match,41 Kings (Indica - 26.31% THCA),,"K239116,8041858,Q097725,4813185",,Dragon (Indica - 31.29% THCA),0.38
weak-item-match,Mcflurry (Hybrid - 32.4% THCA),,"1642806,S499499,S412678,F284270",,Astronaut (Indica - 32.73% THCA),0.29
weak-item-match,Moon Rocks (65.25% THCA),,"1777013,N668539,Z914873,6722595",,Blockberry (Hybrid - 25.42% THCA),0.25
weak-item-match,Columbian Gold (Sativa - 20.29% THCA),,"256104F,R137201,267425B,M863871",,Citrus Burst Live Resin (Sativa - 83.20% THCA),0.27
weak-item-match,Lazer Fuel (Hybrid - 25.99% THCA),,"2479320,171954V,149068M,8075778",,Blockberry (Hybrid - 25.42% THCA),0.38
weak-item-match,Baccio (24.64% THCA) Hybrid,,"1690360,4027149,327212A,814989D",,Kundalini Sherbet (Hybrid - 30.64% THCA),0.38
weak-item-match,Helium ( Hybrid - 34.80 % THCA),,"754122P,406240K,G649397",,Blockberry (Hybrid - 25.42% THCA),0.25
weak-item-match,Gumbo (Indica - 24.19% THCA),,"P720949,3457356,Z827201,E627572",,Astronaut (Indica - 32.73% THCA),0.25
weak-item-match,GMO (Indica - 24.21% THCA),,"K441807,9777112,N324915,H599161",,Astronaut (Indica - 32.73% THCA),0.25
weak-item-match,Mango Afghani (Indica - 25.5%THCA),,"685768L,664156K,127021E,G406962",,Astronaut (Indica - 32.73% THCA),0.25
weak-item-match,Sugar Tarts (Hybrid - 28.92% THCA),,"X201766,7726484,838257Y,377831W",,Giraffe Pussy (Hybrid - 28.50% THCA),0.33
weak-item-match,Ferrari (Sativa - 26.31% THCA),,"5519885,1331329,Z065232,7978718",,Candy Zativa Orbit (Sativa - 31.42% THCA),0.33
weak-item-match,Grape Frosty (Indica - 30.63% THCA),,"K713479,L853656,460010F,5643869",,Benzina Tier 2 Rosin (Indica - 63.51% THCA),0.3
weak-item-match,Cosmic Nectar Live Rosin (72.63% THCA),,"F378666,V205062",,Benzina Tier 2 Rosin (Indica - 63.51% THCA),0.27
multi-variant-match,Oreoz (Hybrid - 25.42% THCA),3.5 Grams,3383609,Blockberry (Hybrid - 25.42% THCA),7 Grams(BLOCKBERRY-7) | 14 Grams(BLOCKBERRY-14) | 28 Grams(BLOCKBERRY-28),""
multi-variant-match,Oreoz (Hybrid - 25.42% THCA),7 Grams,915031E,Blockberry (Hybrid - 25.42% THCA),7 Grams(BLOCKBERRY-7) | 14 Grams(BLOCKBERRY-14) | 28 Grams(BLOCKBERRY-28),""
multi-variant-match,Oreoz (Hybrid - 25.42% THCA),14 Grams,N207498,Blockberry (Hybrid - 25.42% THCA),7 Grams(BLOCKBERRY-7) | 14 Grams(BLOCKBERRY-14),""
multi-variant-match,Oreoz (Hybrid - 25.42% THCA),28 Grams,K014724,Blockberry (Hybrid - 25.42% THCA),7 Grams(BLOCKBERRY-7) | 28 Grams(BLOCKBERRY-28),""
multi-variant-match,Kundalini Sherbet (Hybrid - 30.35% THCA),3.5 Grams,940193T,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams(KUNDALINISHERBET-7) | 14 Grams(KUNDALINISHERBET-14) | 28 Grams(KUNDALINISHERBET-28) | 3.5 Grams(KUNDALINISHERBET-3.5),""
