Action,Shopify Product,Variant,SKU,Qty,Best Square Item,Score
REVIEW,Astronaut (Indica - 32.73% THCA),14 Grams,ASTRONAUT-14,4,Mother of Berries (Indica - 14.83% THCA),0.27
REVIEW,Candy Zativa Orbit (Sativa - 31.42% THCA),14 Grams,CANDYZATIVA-14,4,Lung Candy (Indica - 31.6% THCA),0.27
ALIGN,Citrus Burst Live Resin (Sativa - 83.20% THCA),25 Grams,agzoap25,4,via SKU,1.0
ALIGN,Afghan Black Hash (79.12% THCA),5 Grams,afghan5,3,via SKU,1.0
ALIGN,Blockberry (Hybrid - 25.42% THCA),14 Grams,BLOCKBERRY-14,3,Blockberry (Hybrid - 25.42% THCA),0.71
ALIGN,Gata 25mg THC Drinks,Mountain Tiger,685381521926,3,via SKU,1.0
ALIGN,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),1 Gram,8361551,3,via SKU,1.0
ALIGN,Jelly Donut Tier 2 Rosin (Hybrid - 62.21% THCA),1 Gram,3275119,3,via SKU,1.0
REVIEW,Upgrade (Indica -  29.76% THCA),14 Grams,UPGRADE-14,3,Mac 1 (Hybrid- 29.76% THCA),0.33
REVIEW,Upgrade (Indica -  29.76% THCA),28 Grams,UPGRADE-28,3,Upgrade (Hybrid - 28.53% THCA),0.33
REVIEW,Astronaut (Indica - 32.73% THCA),28 Grams,ASTRONAUT-28,2,Sasquatch Breath (Indica - 28.21% THCa),0.3
ALIGN,Benzina Tier 2 Rosin (Indica - 63.51% THCA),1 Gram,2588985,2,via SKU,1.0
ALIGN,Benzina Tier 2 Rosin (Indica - 63.51% THCA),25 Grams,BENZINA-25,2,Benzina Live Rosin (63.51% THCA),0.5
ALIGN,Blockberry (Hybrid - 25.42% THCA),28 Grams,BLOCKBERRY-28,2,Blockberry (Hybrid - 25.42% THCA),0.71
REVIEW,Candy Zativa Orbit (Sativa - 31.42% THCA),28 Grams,CANDYZATIVA-28,2,Lung Candy (Indica - 31.6% THCA),0.27
ALIGN,Frosted Grapes (Hybrid),Default Title,689745640872,2,via SKU,1.0
ALIGN,Gata 25mg THC Drinks,Orange Soda,gata-juice-25mg-thc-drinks-orange-soda,2,via SKU,1.0
ALIGN,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),25 Grams,HONEYBANANA-25,2,Honey Banana Live Rosin (62.31% THCA),0.55
ALIGN,Jelly Donut Tier 2 Rosin (Hybrid - 62.21% THCA),25 Grams,JELLYDONUT-25,2,Jelly Donut Live Rosin (62.21% THCA),0.55
ALIGN,"Max Strength 10,000mg Full Spectrum CBD Muscle & Joint Cream",Default Title,689745640797,2,via SKU,1.0
ALIGN,Orange Cheesecake Live Resin (Indica - 86.13% THCA),25 Grams,agzoap25,2,via SKU,1.0
ALIGN,Orange Crush Tier 2 Rosin (Sativa - 62.52% THCA),1 Gram,P542141,2,via SKU,1.0
REVIEW,Orange Crush Tier 2 Rosin (Sativa - 62.52% THCA),25 Grams,ORANGECRUSH-25,2,Orange Krush Live Rosin (62.52% THCA),0.42
ALIGN,Papaya Crush Tier 2 Rosin (Sativa - 62.22% THCA),25 Grams,PAPAYACRUSH-25,2,Papaya Crush Live Rosin (62.22% THCA),0.55
ALIGN,Afghan Black Hash (79.12% THCA),2 Grams,afghan2,1,via SKU,1.0
ALIGN,Dragon (Indica - 31.29% THCA),7 Grams,DRAGON-7,1,Greasy Runtz (Indica - 29.31% THCA),0.5
REVIEW,Dragon (Indica - 31.29% THCA),14 Grams,DRAGON-14,1,Greasy Runtz (Indica - 29.31% THCA),0.44
ALIGN,Gata 25mg THC Drinks,Root Beer,gata-juice-25mg-thc-drinks-root-beer,1,via SKU,1.0
ALIGN,Papaya Crush Tier 2 Rosin (Sativa - 62.22% THCA),1 Gram,J451783,1,via SKU,1.0
ALIGN,Small Diamonds (99.17% THCA),2 Grams,DIA2,1,via SKU,1.0
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",Blue Cookies (Indica),S865085,0,via SKU,1.0
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",Orangeade (Sativa- 53.33%THCA),453934M,0,via SKU,1.0
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",Papaya Punch (Indica),5497069,0,via SKU,1.0
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",Trop Z (Sativa) THCA 52.02% CBGA 2.06%,872082S,0,via SKU,1.0
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",Cantalope Haze (Sativa) THCA 51.95% CBGA 2.62%,H314526,0,via SKU,1.0
